State/Territory,1980,1990,2000,2010,,,,,,,,,
United States of America,6.20%,7.90%,11.10%,12.90%,,,,,,,,,
Alabama,0.90%,1.10%,2.00%,3.50%,,,,,,,,,
Alaska,4.00%,4.50%,5.90%,7.30%,,,,,,,,,
Arizona,0.80%,1.10%,2.80%,4.20%,,,,,,,,,
Arkansas,1.40%,1.80%,2.60%,2.70%,,,,,,,,,
California,36.10%,34.20%,26.80%,27.80%,,,,,,,,,
Colorado,3.90%,4.30%,4.50%,4.70%,,,,,,,,,
Connecticut,3.20%,3.50%,5.70%,6.40%,,,,,,,,,
Delaware,3.30%,3.50%,5.70%,6.40%,,,,,,,,,
District of Columbia,5.40%,5.10%,5.40%,6.00%,,,,,,,,,
Florida,10.90%,12.90%,17.60%,19.50%,,,,,,,,,
Georgia,2.40%,3.00%,5.00%,7.20%,,,,,,,,,
Hawaii,14.20%,14.70%,17.50%,18.10%,,,,,,,,,
Idaho,2.50%,2.90%,5.00%,5.50%,,,,,,,,,
Illinois,8.30%,9.50%,10.60%,13.70%,,,,,,,,,
Indiana,1.70%,3.10%,4.10%,6.10%,,,,,,,,,
Iowa,2.30%,2.70%,3.50%,3.70%,,,,,,,,,
Kansas,2.00%,2.50%,5.00%,6.90%,,,,,,,,,
Kentucky,0.90%,0.90%,2.00%,3.40%,,,,,,,,,
Louisiana,4.10%,4.30%,2.60%,3.30%,,,,,,,,,
Maine,3.90%,3.00%,2.90%,3.50%,,,,,,,,,
Maryland,3.50%,4.00%,5.80%,9.30%,,,,,,,,,
Massachusetts,8.70%,9.50%,12.20%,15.00%,,,,,,,,,
Michigan,3.80%,5.30%,9.20%,11.80%,,,,,,,,,
Minnesota,3.70%,4.20%,5.90%,7.40%,,,,,,,,,
Mississippi,0.90%,0.80%,1.40%,2.10%,,,,,,,,,
Missouri,1.60%,2.70%,3.90%,4.20%,,,,,,,,,
Montana,2.30%,3.50%,5.10%,6.20%,,,,,,,,,
Nebraska,2.00%,1.80%,4.40%,6.10%,,,,,,,,,
Nevada,6.70%,8.70%,15.80%,18.80%,,,,,,,,,
New Hampshire,5.30%,5.30%,4.50%,5.30%,,,,,,,,,
New Jersey,12.50%,17.50%,21.70%,23.60%,,,,,,,,,
New Mexico,4.00%,5.30%,8.20%,9.90%,,,,,,,,,
New York,14.50%,15.90%,17.70%,21.90%,,,,,,,,,
North Carolina,1.70%,2.50%,3.70%,5.50%,,,,,,,,,
North Dakota,2.30%,1.50%,1.90%,2.50%,,,,,,,,,
Ohio,3.50%,3.90%,6.30%,8.60%,,,,,,,,,
Oklahoma,1.90%,2.10%,3.80%,4.00%,,,,,,,,,
Oregon,4.20%,4.80%,8.50%,9.50%,,,,,,,,,
Pennsylvania,7.80%,8.90%,9.50%,11.40%,,,,,,,,,
Rhode Island,14.40%,10.90%,8.90%,12.80%,,,,,,,,,
South Carolina,1.50%,1.40%,2.90%,4.70%,,,,,,,,,
South Dakota,1.40%,1.10%,1.80%,2.70%,,,,,,,,,
Tennessee,2.80%,2.40%,3.70%,5.30%,,,,,,,,,
Texas,7.80%,9.20%,10.40%,15.80%,,,,,,,,,
Utah,3.40%,2.70%,3.10%,7.10%,,,,,,,,,
Vermont,3.10%,3.10%,3.80%,4.80%,,,,,,,,,
Virginia,4.50%,4.30%,4.90%,8.90%,,,,,,,,,
Washington,8.70%,10.40%,11.30%,13.10%,,,,,,,,,
West Virginia,1.10%,1.00%,2.00%,3.00%,,,,,,,,,
Wisconsin,2.90%,2.70%,5.10%,6.20%,,,,,,,,,
Wyoming,2.30%,2.50%,4.30%,5.00%,,,,,,,,,
