date,unrate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over
1980,7.1,7,7.4,19.9,16.2,11.5,6.9,4.6,4,3.3
1981,7.6,7.4,7.9,21.5,18.4,12.3,7.3,5,4.2,3.6
1982,9.7,9.9,9.4,25,22.1,14.9,9.7,6.9,5.7,5
1983,9.6,9.9,9.2,24.6,21.1,14.5,9.7,7,6.2,5.3
1984,7.5,7.4,7.6,21.3,17.5,11.5,7.3,5.4,4.9,4.4
1985,7.2,7,7.4,21,17,11.1,7,5.1,4.7,4.1
1986,7,6.9,7.1,20.3,17,10.7,6.9,5,4.4,3.9
1987,6.2,6.2,6.2,19.3,15.3,9.7,6,4.5,4,3.3
1988,5.5,5.5,5.6,17.4,13.8,8.7,5.4,4,3.4,3.1
1989,5.3,5.2,5.4,17.1,13.7,8.6,5.1,3.8,3.2,3.1
1990,5.6,5.7,5.5,17.9,14.1,8.8,5.6,4.1,3.6,3.2
1991,6.8,7.1,6.4,21,17.2,10.8,6.9,5.2,4.5,3.9
1992,7.5,7.9,7,23.1,18.2,11.4,7.6,5.8,5.1,4.8
1993,6.9,7.2,6.6,21.5,17.5,10.5,6.9,5.5,4.8,4.3
1994,6.1,6.2,6,20,16,9.7,6,4.6,4,4.1
1995,5.6,5.6,5.6,20.2,15.3,9.1,5.4,4.3,3.4,3.7
1996,5.4,5.4,5.4,18.9,15.2,9.3,5.2,4.1,3.4,3.4
1997,5,4.9,5,18.2,14.5,8.5,4.7,3.8,3,3
1998,4.5,4.4,4.6,17.1,12.8,7.9,4.3,3.4,2.8,2.7
1999,4.2,4.1,4.3,16.3,12.4,7.5,4,3.1,2.6,2.8
2000,4,3.9,4.1,15.3,11.6,7.2,3.7,3,2.4,2.6
2001,4.7,4.8,4.7,17.1,13.1,8.3,4.6,3.6,3.1,3
2002,5.8,5.9,5.6,18.7,15.1,9.7,5.9,4.6,4,3.9
2003,6,6.3,5.7,18.8,16.3,10,6.1,5,4.1,4.1
2004,5.5,5.6,5.4,20,15,9.4,5.6,4.4,3.8,3.7
2005,5.1,5.1,5.1,19.1,14.9,8.8,5.1,3.9,3.5,3.4
2006,4.6,4.6,4.6,17.1,14.1,8.2,4.7,3.6,3.1,3
2007,4.6,4.7,4.5,17.4,14.5,8.2,4.7,3.5,3.2,3.1
2008,5.8,6.1,5.4,21.8,16.8,10.2,5.8,4.6,4.1,3.8
2009,9.3,10.3,8.1,25.7,23.4,14.7,9.9,7.9,7.2,6.6
2010,9.6,10.5,8.6,28.8,24.2,15.5,10.1,8.1,7.7,7
2011,9,9.4,8.5,27.5,22.8,14.6,9.5,7.3,7,6.6
2012,8.1,8.2,7.9,27.1,22.3,13.3,8.3,6.6,6.2,6
2013,7.4,7.6,7.1,26.2,21,12.8,7.4,5.9,5.6,5.4
2014,6.2,6.3,6,21.3,18.5,11.2,6.5,4.7,4.4,4.4
2015,5.3,5.4,5.2,18.1,16.2,9.7,5.5,4.1,3.7,3.8
2016,4.9,4.9,4.8,17.8,14.4,8.4,5.1,3.8,3.5,3.6
2017,4.4,4.4,4.3,15.5,13.1,7.4,4.6,3.5,3.1,3.2
2018,3.9,4,3.8,13.8,12.3,6.9,4,3,2.8,3
2019,3.7,3.7,3.6,13.9,11.9,6.7,3.7,2.7,2.7,2.7
2020,8.1,7.8,8.4,17.7,18.3,13.9,8.5,6.4,6.4,7
2021,5.5,5.6,5.4,11.6,12.1,9.2,5.9,4.8,4.3,4.4
